;;BDRX;IBOV;IBRA;IBXL;IBXX;ICO2;ICON;IDIV;IEEX;IFIX;IFNC;IGCT;IGCX;IGNM;IMAT;IMOB;INDX;ISEE;ITAG;IVBX;MLCX;SMLL;UTIL
3M;DRN;MMMC34;;;;;;;;;;;;;;;;;;;;;;
ABBOTT;DRN;ABTT34;;;;;;;;;;;;;;;;;;;;;;
ABC BRASIL;PN N2;;;ABCB4;;;;;ABCB4;;;ABCB4;ABCB4;ABCB4;;;;;;ABCB4;;;ABCB4;
ACCENTURE;DRN;ACNB34;;;;;;;;;;;;;;;;;;;;;;
ADVANCED-DH;ON;;;;;;;;;;;;;;;;;;;ADHM3;;;;
AES TIETE E;UNT N2;;;TIET11;;TIET11;;;TIET11;TIET11;;;TIET11;TIET11;;;;;TIET11;TIET11;;;TIET11;TIET11
AIG GROUP;DRN;AIGB34;;;;;;;;;;;;;;;;;;;;;;
ALIANSCE;ON NM;;;ALSC3;;;;;;;;;ALSC3;ALSC3;ALSC3;;ALSC3;;;ALSC3;;;ALSC3;
ALLIAR;ON NM;;;;;;;;;;;;;AALR3;AALR3;;;;;AALR3;;;;
ALPARGATAS;ON N1;;;;;;;;;;;;;ALPA3;;;;;;;;;;
ALPARGATAS;PN N1;;;ALPA4;;;;ALPA4;;;;;ALPA4;ALPA4;;;;ALPA4;;;;;ALPA4;
ALPER S.A.;ON NM;;;;;;;;;;;;;APER3;APER3;;;;;APER3;;;;
ALPHABET;DRN;GOGL34;;;;;;;;;;;;;;;;;;;;;;
ALUPAR;UNT N2;;;ALUP11;;;;;;ALUP11;;;ALUP11;ALUP11;;;;;;ALUP11;;;ALUP11;ALUP11
AMAZON;DRN;AMZO34;;;;;;;;;;;;;;;;;;;;;;
AMBEV S/A;ON;;ABEV3;ABEV3;ABEV3;ABEV3;;ABEV3;;;;;;;;;;ABEV3;;;;ABEV3;;
AMERICAN EXP;DRN;AXPB34;;;;;;;;;;;;;;;;;;;;;;
AMGEN;DRN;AMGN34;;;;;;;;;;;;;;;;;;;;;;
ANIMA;ON NM;;;ANIM3;;;;ANIM3;;;;;ANIM3;ANIM3;ANIM3;;;;;ANIM3;;;ANIM3;
APPLE;DRN;AAPL34;;;;;;;;;;;;;;;;;;;;;;
ARCELOR;DRN;ARMT34;;;;;;;;;;;;;;;;;;;;;;
ARCONIC;DRN;ARNC34;;;;;;;;;;;;;;;;;;;;;;
AREZZO CO;ON NM;;;ARZZ3;;;;ARZZ3;;;;;ARZZ3;ARZZ3;ARZZ3;;;;;ARZZ3;;;ARZZ3;
ATT INC;DRN;ATTB34;;;;;;;;;;;;;;;;;;;;;;
AVON;DRN;AVON34;;;;;;;;;;;;;;;;;;;;;;
AZUL;PN N2;;;AZUL4;;AZUL4;;;;;;;AZUL4;AZUL4;;;;;;AZUL4;AZUL4;;AZUL4;
B2W DIGITAL;ON NM;;BTOW3;BTOW3;BTOW3;BTOW3;;BTOW3;;;;;BTOW3;BTOW3;BTOW3;;;;BTOW3;BTOW3;BTOW3;BTOW3;;
B3;ON NM;;B3SA3;B3SA3;B3SA3;B3SA3;B3SA3;;;;;B3SA3;B3SA3;B3SA3;B3SA3;;;;;B3SA3;;B3SA3;;
BAHEMA;ON MA;;;;;;;;;;;;;;;;;;;BAHI3;;;;
INTER BANCO;PN N1;;;BIDI4;;;;;;;;BIDI4;BIDI4;BIDI4;;;;;;BIDI4;;;;
BANCO PAN;PN N1;;;;;;;;;;;;;BPAN4;;;;;;BPAN4;;;;
BANESE;PN;;;;;;;;;;;;;;;;;;;BGIP4;;;;
BANK AMERICA;DRN;BOAC34;;;;;;;;;;;;;;;;;;;;;;
BANRISUL;ON N1;;;;;;;;;;;;;;;;;;;BRSR3;;;;
BANRISUL;PNB N1;;;BRSR6;;BRSR6;;;BRSR6;;;BRSR6;BRSR6;BRSR6;;;;;;BRSR6;;;BRSR6;
BBSEGURIDADE;ON NM;;BBSE3;BBSE3;BBSE3;BBSE3;;;BBSE3;;;BBSE3;BBSE3;BBSE3;BBSE3;;;;;BBSE3;BBSE3;BBSE3;;
BERKSHIRE;DRN;BERK34;;;;;;;;;;;;;;;;;;;;;;
BIOMM;ON MA;;;;;;;;;;;;;;;;;;;BIOM3;;;;
BIOSEV;ON NM;;;;;;;;;;;;;BSEV3;BSEV3;;;;;BSEV3;;;;
BK BRASIL;ON NM;;;BKBR3;;;;BKBR3;;;;;BKBR3;BKBR3;BKBR3;;;;;BKBR3;;;BKBR3;
BNY MELLON;DRN;BONY34;;;;;;;;;;;;;;;;;;;;;;
BOEING;DRN;BOEI34;;;;;;;;;;;;;;;;;;;;;;
BOSTON PROP;DRN;BOXP34;;;;;;;;;;;;;;;;;;;;;;
BR BROKERS;ON NM;;;;;;;;;;;;;BBRK3;BBRK3;;;;;BBRK3;;;;
BR MALLS PAR;ON NM;;BRML3;BRML3;BRML3;BRML3;BRML3;;;;;;BRML3;BRML3;BRML3;;BRML3;;;BRML3;BRML3;BRML3;;
BR PROPERT;ON NM;;;BRPR3;;;;;;;;;BRPR3;BRPR3;BRPR3;;BRPR3;;;BRPR3;;;BRPR3;
BRADESCO;ON N1;;BBDC3;BBDC3;BBDC3;BBDC3;BBDC3;;;;;BBDC3;BBDC3;BBDC3;;;;;BBDC3;BBDC3;;BBDC3;;
BRADESCO;PN N1;;BBDC4;BBDC4;BBDC4;BBDC4;BBDC4;;;;;BBDC4;BBDC4;BBDC4;;;;;BBDC4;BBDC4;;BBDC4;;
BRADESPAR;ON N1;;;;;;;;;;;;;BRAP3;;;;;;BRAP3;;;;
BRADESPAR;PN N1;;BRAP4;BRAP4;BRAP4;BRAP4;BRAP4;;BRAP4;;;;BRAP4;BRAP4;;BRAP4;;;;BRAP4;BRAP4;;BRAP4;
BRASIL;ON NM;;BBAS3;BBAS3;BBAS3;BBAS3;BBAS3;;;;;BBAS3;BBAS3;BBAS3;BBAS3;;;;BBAS3;BBAS3;;BBAS3;;
BRASILAGRO;ON NM;;;;;;;;;;;;;AGRO3;AGRO3;;;;;AGRO3;;;;
BRASKEM;ON N1;;;;;;;;;;;;;BRKM3;;;;;;BRKM3;;;;
BRASKEM;PNA N1;;BRKM5;BRKM5;BRKM5;BRKM5;BRKM5;;BRKM5;;;;BRKM5;BRKM5;;BRKM5;;BRKM5;BRKM5;BRKM5;BRKM5;BRKM5;;
BRF SA;ON NM;;BRFS3;BRFS3;BRFS3;BRFS3;BRFS3;BRFS3;;;;;BRFS3;BRFS3;BRFS3;;;BRFS3;;BRFS3;BRFS3;BRFS3;;
BRISTOLMYERS;DRN;BMYB34;;;;;;;;;;;;;;;;;;;;;;
BTGP BANCO;UNT;;;BPAC11;;;;;;;;BPAC11;;;;;;;;;;BPAC11;;
CAMBUCI;PN;;;;;;;;;;;;;;;;;;;CAMB4;;;;
CAMIL;ON NM;;;CAML3;;;;CAML3;;;;;CAML3;CAML3;CAML3;;;CAML3;;CAML3;;;CAML3;
CARREFOUR BR;ON NM;;;CRFB3;;CRFB3;;CRFB3;;;;;CRFB3;CRFB3;CRFB3;;;;;CRFB3;;CRFB3;;
CATERPILLAR;DRN;CATP34;;;;;;;;;;;;;;;;;;;;;;
